time,ax,ay,az,atotal
1.505,-0.02,0.02,-0.19,0.19
1.515,-0.03,0.04,-0.08,0.09
1.525,-0.03,0.03,0.14,0.15
1.535,-0.03,0.03,0.11,0.12
1.545,-0.03,0.03,-0.09,0.1
1.555,-0.03,0.02,-0.15,0.15
1.565,-0.02,0.03,-0.01,0.04
1.575,-0.03,0.04,0.13,0.14
1.585,-0.02,0.03,0.05,0.06
1.595,-0.03,0.03,-0.1,0.11
1.605,-0.02,0.02,-0.12,0.13
1.615,-0.04,0.03,0.04,0.06
1.624,-0.04,0.04,0.12,0.13
1.635,-0.02,0.03,0.02,0.04
1.645,-0.03,0.02,-0.1,0.11
1.655,-0.03,0.02,-0.07,0.08
1.664,-0.03,0.03,0.04,0.06
1.674,-0.03,0.03,0.09,0.1
1.684,-0.03,0.02,0.01,0.04
1.694,-0.02,0.02,-0.07,0.08
1.704,-0.02,0.03,-0.05,0.06
1.714,-0.03,0.04,0.04,0.06
1.724,-0.04,0.03,0.07,0.09
1.734,-0.03,0.03,-0.02,0.05
1.744,-0.02,0.03,-0.06,0.07
1.754,-0.01,0.01,-0.02,0.02
1.764,-0.01,0.02,0.02,0.03
1.774,-0.03,0.02,0.01,0.04
1.784,-0.05,0.04,-0.04,0.07
1.794,-0.04,0.04,-0.05,0.07
1.804,-0.03,0.03,-0.03,0.04
1.814,-0.03,0.03,0.02,0.05
1.824,-0.02,0.03,0.02,0.05
1.834,-0.02,0.03,-0.03,0.05
1.844,-0.03,0.03,-0.05,0.07
1.854,-0.03,0.03,-0.02,0.04
1.864,-0.03,0.04,0.01,0.05
1.874,-0.03,0.03,0.03,0.05
1.884,-0.03,0.03,0.02,0.05
1.893,-0.03,0.03,0.02,0.05
1.904,-0.03,0.03,0.01,0.04
1.913,-0.03,0.02,0.01,0.04
1.923,-0.02,0.02,0,0.03
1.933,-0.03,0.02,0,0.04
1.943,-0.03,-0.02,0,0.04
1.953,-0.03,0.06,0,0.07
1.963,-0.03,0.04,-0.02,0.05
1.973,-0.02,0.03,-0.03,0.05
1.983,-0.02,0.03,-0.01,0.04
1.993,-0.02,0.03,0.01,0.04
2.003,-0.03,0.02,0.03,0.05
2.013,-0.03,0.02,0.01,0.04
2.023,-0.06,0,-0.03,0.07
2.033,-0.03,0.01,-0.06,0.07
2.043,0.01,0.07,-0.05,0.09
2.053,-0.03,0.02,0,0.03
2.063,-0.02,0.03,0,0.03
